H,HV,HKO,PL,D,ER,PIND,MOODETUD_P,KKT,DBH,H_VALEM,V,S
23.20,10.20,0.00,KS,21.45,10,0.64010,0.64010,JO,21.45,20.456,0.37576,9.4679
8.80,3.60,0.50,KU,7.60,10,0.64010,0.64010,JO,7.60,10.392,0.02240,1.2327
17.90,3.90,0.00,KU,18.05,10,0.64010,0.64010,JO,18.05,18.874,0.24429,6.8882
10.70,5.80,0.50,KU,8.35,10,0.64010,0.64010,JO,8.35,11.280,0.03531,2.0373
16.30,7.00,0.00,TM,16.35,10,0.64010,0.64010,JO,16.35,17.930,0.16301,5.2321
14.20,1.60,0.00,VA,13.90,10,0.64010,0.64010,JO,13.90,16.337,0.10276,3.7987
14.60,6.70,0.00,TM,8.60,10,0.64010,0.64010,JO,8.60,11.564,0.04198,2.5208
12.60,3.10,0.00,KS,8.35,11,0.88644,0.88644,JO,8.35,11.280,0.03371,2.0607
8.40,1.00,0.00,PI,8.70,10,0.64010,0.64010,JO,8.70,11.675,0.02796,1.5503
10.90,3.30,0.50,KU,11.25,10,0.64010,0.64010,JO,11.25,14.219,0.06413,2.7640
11.00,6.30,0.50,KU,10.60,10,0.64010,0.64010,JO,10.60,13.624,0.05757,2.6325
18.60,8.70,0.00,LM,13.75,10,0.64010,0.64010,JO,13.75,16.229,0.13440,5.1172
16.70,5.70,0.50,KU,15.95,10,0.64010,0.64010,JO,15.95,17.690,0.18149,5.7437
18.10,7.10,0.00,TM,17.05,10,0.64010,0.64010,JO,17.05,18.333,0.19351,6.0156
10.20,0.50,0.00,PI,14.15,11,0.88644,0.88644,JO,14.15,16.514,0.08439,2.9632
17.80,9.00,0.00,TM,16.75,10,0.64010,0.64010,JO,16.75,18.162,0.18423,5.8201
15.80,6.20,0.00,KS,9.60,10,0.64010,0.64010,JO,9.60,12.639,0.05363,2.9237
19.40,4.50,0.60,KU,13.60,10,0.64010,0.64010,JO,13.60,16.120,0.15280,5.6991
9.90,1.80,1.00,KU,8.50,11,0.88644,0.88644,JO,8.50,11.451,0.03424,1.9288
16.30,5.70,0.00,KS,12.25,10,0.64010,0.64010,JO,12.25,15.074,0.08965,3.8420
20.90,9.50,0.00,LM,21.60,11,0.88644,0.88644,JO,21.60,20.518,0.36838,9.0030
17.40,4.50,0.00,VA,15.80,10,0.64010,0.64010,JO,15.80,17.598,0.15869,5.2515
14.50,2.10,1.30,KU,19.60,11,0.88644,0.88644,JO,19.60,19.640,0.23748,6.0936
26.30,12.00,0.00,LM,45.60,11,0.88644,0.88644,JO,45.60,26.057,2.03334,23.8492
15.80,2.50,0.30,KU,19.80,11,0.88644,0.88644,JO,19.80,19.733,0.26082,6.6688
10.30,2.70,0.00,KS,8.20,11,0.88644,0.88644,JO,8.20,11.107,0.02776,1.6851
22.40,5.30,1.00,KU,33.75,10,0.64010,0.64010,JO,33.75,24.099,0.95788,15.0266
19.10,2.50,1.70,KU,35.00,11,0.88644,0.88644,JO,35.00,24.356,0.88620,13.3004
11.50,3.30,0.70,KU,11.45,10,0.64010,0.64010,JO,11.45,14.396,0.06945,2.9545
8.10,1.40,0.00,PI,8.10,11,0.88644,0.88644,JO,8.10,10.990,0.02363,1.3997
16.20,2.70,0.00,KS,13.20,11,0.88644,0.88644,JO,13.20,15.822,0.10355,4.1159
19.70,1.90,0.00,KS,19.55,11,0.88644,0.88644,JO,19.55,19.617,0.26908,7.3506
12.20,6.50,0.90,KU,11.20,10,0.64010,0.64010,JO,11.20,14.175,0.06997,3.0561
8.70,3.30,1.20,KU,7.75,7,1.36565,0.09597,MO,7.75,10.574,0.02312,1.2452
11.30,4.00,0.60,KU,12.95,7,1.36565,0.09597,MO,12.95,15.631,0.08683,3.2699
14.50,8.40,0.40,KU,12.95,10,0.64010,0.64010,JO,12.95,15.631,0.10750,4.1270
6.50,0.70,0.20,KU,9.40,11,0.88644,0.88644,JO,9.40,12.431,0.02941,1.4452
24.50,8.90,8.50,KU,34.20,10,0.64010,0.64010,JO,34.20,24.193,1.06545,16.5840
12.70,4.40,0.00,VA,9.55,11,0.88644,0.88644,JO,9.55,12.587,0.04407,2.3468
14.20,4.50,0.00,LM,10.50,11,0.88644,0.88644,JO,10.50,13.529,0.06183,3.0135
14.40,4.40,0.90,KU,15.75,10,0.64010,0.64010,JO,15.75,17.567,0.15566,4.9355
21.50,3.10,0.50,KU,29.10,11,0.88644,0.88644,JO,29.10,22.997,0.70392,12.6849
9.10,3.40,0.60,KU,8.45,7,1.36565,0.09597,MO,8.45,11.394,0.03153,1.7741
10.00,2.70,0.00,PN,16.90,10,0.64010,0.64010,JO,16.90,18.248,0.11895,3.4897
11.60,3.60,0.00,KS,8.85,11,0.88644,0.88644,JO,8.85,11.841,0.03546,2.0251
13.70,8.20,0.00,LM,7.25,11,0.88644,0.88644,JO,7.25,9.958,0.02851,1.7238
14.60,4.20,0.00,PN,19.00,10,0.64010,0.64010,JO,19.00,19.353,0.20778,5.5823
14.12,1.90,0.00,KS,13.40,11,0.88644,0.88644,JO,13.40,15.972,0.09518,3.6736
25.60,9.10,4.80,KU,31.40,7,1.36565,0.09597,MO,31.40,23.574,0.95032,16.0736
11.20,1.00,0.50,KU,12.90,11,0.88644,0.88644,JO,12.90,15.592,0.08554,3.2311
